Tahun,Jumlah
1990,10
1991,8
1992,9
9193,6
1994,9
1995,11
1996,9
1997,19
1998,21
1999,17
2000,279
2001,76
2002,39
2003,23
2004,48
2005,20
2006,42
2007,101
2008,56
2009,20
2010,23
2011,27
2012,27
2013,15
2014,24
2015,18
2016,27
2017,28
2018,30
2019,22
2020,32
2021,32
2022,28
2023,22
2024,1

